Model,Accuracy,Precision,Recall,F1,ROC-AUC,Fit Time (s),Best Params
Gradient Boosting,0.8148198689956332,0.9038865546218487,0.7045578602620087,0.7918711656441718,0.8889734695151457,140.28,"{'learning_rate': 0.1, 'n_estimators': 200}"
Random Forest,0.8093613537117904,0.9049660593068953,0.69132096069869,0.783846510908247,0.8870463503031979,80.53,"{'max_depth': 15, 'min_samples_leaf': 1, 'n_estimators': 200}"
Decision Tree,0.7966703056768559,0.8815373815373816,0.6854530567685589,0.7712267772148012,0.8679319750409984,2.99,"{'max_depth': 15, 'min_samples_leaf': 10}"
Polynomial Regression,0.7869814410480349,0.8613402061855671,0.6840884279475983,0.7625494371767569,0.8631793125250281,18.41,{'lr__fit_intercept': True}
Polynomial Regression,0.7869814410480349,0.8613402061855671,0.6840884279475983,0.7625494371767569,0.8631793125250281,15.07,{'lr__fit_intercept': False}
KNN,0.7512963973799127,0.8725470362128263,0.5885644104803494,0.702958194116209,0.8373263934409623,2.19,"{'n_neighbors': 25, 'weights': 'distance'}"
KNN,0.7512963973799127,0.8725470362128263,0.5885644104803494,0.702958194116209,0.8373263934409623,2.13,"{'n_neighbors': 25, 'weights': 'distance'}"
Logistic Regression,0.7607805676855895,0.85546875,0.6275927947598253,0.7240239294710328,0.8363273912885433,3.08,{'C': 10}
Linear SVM,0.7537527292576419,0.856841297255805,0.6093067685589519,0.7121780046255682,0.830198405261389,10.45,{'C': 10}
Linear Regression,0.7527974890829694,0.883937823834197,0.582014192139738,0.7018843084012178,0.8299591482868844,0.45,{'fit_intercept': True}
